districts,x,y
Cooch Behar,48.0,80.0
Alipurduar,47.0,101.0
Jalpaiguri,26.0,90.0
Kalimpong,19.0,115.0
Darjeeling,-5.0,100.0
Uttar Dinajpur,1.0,71.0
Dakshin Dinajpur,26.0,52.0
Malda,8.0,42.0
Murshidabad,8.0,9.0
Birbhum,-11.0,-4.0
Pashchim Bardhaman,-100.0,-20.0
Purba Bardhaman,-1.0,-23.0
Nadia,17.0,-13.0
North 24 Parganas,29.0,-41.0
Hoogly,10.0,-45.0
Bankura,-28.0,-30.0
Purulia,-100.0,-30.0
Jhargram,-60.0,-66.0
Pashchim Midnapur,-100.0,-55.0
Howrah,3.0,-53.0
Kolkata,20.0,-60.0
South 24 Parganas,18.0,-69.0
Purba Midnapur,-9.0,-74.0
